uf,2021,2022,2023
Rondônia,42.14,48.34,60.54
Acre,25.95,37.33,42.71
Amazonas,44.70,48.78,52.62
Roraima,35.51,38.11,51.07
Pará,27.72,30.19,38.29
Amapá,34.70,35.41,45.54
Tocantins,50.51,50.39,56.69
Maranhão,39.94,46.94,63.36
Piauí,48.76,53.23,72.02
Ceará,55.18,66.26,87.68
Rio Grande do Norte,45.10,46.50,66.72
Paraíba,44.24,53.09,71.18
Pernambuco,44.95,51.17,62.18
Alagoas,50.27,61.25,73.19
Sergipe,61.33,62.25,75.79
Bahia,45.31,52.71,63.04
Minas Gerais,67.23,68.27,76.32
Espírito Santo,64.92,64.60,77.14
Rio de Janeiro,40.31,50.49,60.40
São Paulo,64.16,65.15,77.82
Paraná,67.36,68.59,77.36
Santa Catarina,69.61,72.35,74.70
Rio Grande do Sul,56.03,62.59,70.71
Mato Grosso do Sul,37.40,49.56,47.40
Mato Grosso,41.97,46.07,58.59
Goiás,48.87,52.56,49.30
Distrito Federal,54.67,61.50,74.31