city,2021,2022,2023
AFONSO CLAUDIO,51.32,73.23,93.41
AGUIA BRANCA,19.84,66.67,75.16
AGUA DOCE DO NORTE,62.63,40.98,90.12
ALEGRE,74.09,28.00,81.71
ALFREDO CHAVES,80.00,57.14,120.00
ALTO RIO NOVO,77.00,85.56,94.62
ANCHIETA,83.88,66.99,88.98
APIACA,89.06,90.54,95.38
ARACRUZ,68.25,74.54,78.38
ATILIO VIVACQUA,83.22,96.71,90.91
BAIXO GUANDU,55.16,64.62,94.26
BARRA DE SAO FRANCISCO,69.58,69.54,79.86
BOA ESPERANCA,74.05,69.95,68.69
BOM JESUS DO NORTE,102.30,128.00,75.00
BREJETUBA,58.09,75.48,100.98
CACHOEIRO DE ITAPEMIRIM,52.73,67.66,83.07
CARIACICA,57.63,61.72,70.56
CASTELO,76.78,74.72,100.00
COLATINA,47.81,29.99,71.39
CONCEICAO DA BARRA,34.24,55.64,97.22
CONCEICAO DO CASTELO,69.44,84.09,88.82
DIVINO DE SAO LOURENCO,115.52,35.94,103.17
DOMINGOS MARTINS,76.04,70.06,99.28
DORES DO RIO PRETO,92.86,69.23,61.22
ECOPORANGA,74.91,60.20,86.72
FUNDAO,33.33,71.48,89.52
GOVERNADOR LINDENBERG,57.89,81.34,104.90
GUACUI,68.90,70.33,80.24
GUARAPARI,47.12,59.03,71.98
IBATIBA,89.67,79.54,107.65
IBIRACU,80.00,61.49,105.71
IBITIRAMA,26.28,31.25,79.85
ICONHA,93.33,65.67,109.92
IRUPI,30.28,71.28,88.56
ITAGUACU,94.29,58.55,86.81
ITAPEMIRIM,27.74,58.51,67.36
ITARANA,71.43,84.96,82.84
IUNA,68.77,101.51,74.48
JAGUARE,60.92,53.71,80.77
JERONIMO MONTEIRO,69.44,93.44,87.35
JOAO NEIVA,102.34,69.15,65.10
LARANJA DA TERRA,79.66,76.92,88.57
LINHARES,52.34,67.97,83.79
MANTENOPOLIS,66.87,61.88,70.48
MARATAIZES,75.44,62.93,82.97
MARECHAL FLORIANO,80.89,86.14,85.71
MARILANDIA,95.32,84.97,81.21
MIMOSO DO SUL,86.07,61.46,89.59
MONTANHA,89.59,92.45,96.15
MUCURICI,84.72,88.16,93.75
MUNIZ FREIRE,86.36,86.25,95.63
MUQUI,74.56,107.04,109.14
NOVA VENECIA,81.08,62.69,97.44
PANCAS,84.03,83.93,100.92
PEDRO CANARIO,67.11,82.30,86.31
PINHEIROS,71.58,63.81,87.38
PIUMA,49.56,59.71,75.24
PONTO BELO,85.71,95.12,122.22
PRESIDENTE KENNEDY,87.33,86.18,88.44
RIO BANANAL,96.26,93.17,91.88
RIO NOVO DO SUL,49.68,70.77,97.69
SANTA LEOPOLDINA,87.61,56.45,100.00
SANTA MARIA DE JETIBA,68.41,68.81,89.53
SANTA TERESA,76.85,66.45,85.27
SAO DOMINGOS DO NORTE,73.21,85.44,97.46
SAO GABRIEL DA PALHA,62.47,48.94,92.53
SAO JOSE DO CALCADO,78.13,70.94,80.34
SAO MATEUS,58.63,53.68,68.37
SAO ROQUE DO CANAA,113.76,87.96,101.75
SERRA,69.20,61.93,70.17
SOORETAMA,69.82,58.89,75.12
VARGEM ALTA,87.77,91.09,86.57
VENDA NOVA DO IMIGRANTE,91.94,89.46,85.19
VIANA,59.46,69.11,64.04
VILA PAVAO,97.92,66.99,122.92
VILA VALERIO,92.14,67.84,80.32
VILA VELHA,62.13,62.82,64.10
VITORIA,76.04,66.51,71.93